catalogNumber;genus;specificEpithet;scientificNameAuthorship;acceptedNameUsage;family;countryCode;locality;year;recordedBy;Image GUID
Sheet-0002377;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1972;Bangerter Hermann;8da085a7-8704-4a8b-acb6-8a5e208f9c3c
Sheet-0002378;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Zuchwil, allg.;1964;Bangerter Hermann;7e16e85f-049d-4f00-a98e-39a3d93db841
Sheet-0002379;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;3837a45f-61e1-40c0-93c6-993fd9968fa5
Sheet-0002380;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;7f3880e9-545c-4650-a8b3-8093aa7e6b63
Sheet-0002381;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;56565043-77c7-475b-8b6d-8b6560153f7f
Sheet-0002382;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;c5f539c3-1931-4006-a4de-9bd0c34e4b80
Sheet-0002383;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Mühledorf, allg.;1970;Bangerter Hermann;9316ac62-16f0-456b-958f-a68e899d685b
Sheet-0002384;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1969;Bangerter Hermann;b65da741-2332-4bc2-9607-7d9ac379de54
Sheet-0002385;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;302b40eb-1551-4aad-9baa-87d0c0be57ca
Sheet-0002386;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Olten, allg.;1968;Bangerter Hermann;9f39d9b0-8dfb-49d2-9102-69df430ea89f
Sheet-0002388;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Däniken, allg.;1967;Bangerter Hermann;d7314a94-abbe-4708-8f03-2be71cd0619a
Sheet-0002387;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Däniken, allg.;1967;Bangerter Hermann;17fffcf9-af73-42dc-a821-0d11bbdc0bf1
Sheet-0002389;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1968;Bangerter Hermann;ddfc7a4e-6516-4183-962e-1a0153d7eacc
Sheet-0002390;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;dfbbc93a-1e59-4c13-ab00-16f597cafc78
Sheet-0002391;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;40aa72dc-2c1a-4675-9a1e-0217d76336a3
Sheet-0002392;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;e309b5ea-41ab-4204-8720-b0dad84430e2
Sheet-0002393;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1974;Bangerter Hermann;d05627b4-7e43-426c-a2a8-3301369cd872
Sheet-0002394;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;79c7c2eb-656b-4d79-9071-fe0cc6cdf091
Sheet-0002395;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1974;Bangerter Hermann;174421ad-3762-451b-aac6-93d4d55699e0
Sheet-0002396;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Gunzgen, allg.;1974;Bangerter Hermann;f561de26-e434-44ec-b83d-fdeef5720257
Sheet-0002397;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;5df1b27d-26a6-4ec9-8ee9-e9cdb3db2835
Sheet-0002398;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Messen, allg.;1974;Bangerter Hermann;612c7ef6-e302-41e2-a3ad-03a3b4658d11
Sheet-0002399;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;c2c6253d-313e-4c5a-8f3b-4e06b3e50250
Sheet-0002400;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;339845d1-5ab7-47f1-865b-301d3281e6c9
Sheet-0002401;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Biberist, allg.;1974;Bangerter Hermann;8bbf899c-2631-4c88-8066-0b1ce6cc438f
Sheet-0002402;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;7aec6791-f063-4dd4-a035-407fea893422
Sheet-0002403;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;8a7cc5ba-3812-4709-90b0-ccb40f8b864b
Sheet-0002404;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;228656b6-7461-4030-871b-3eba6c4ff9af
Sheet-0002405;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;3d3e99b1-2dff-434b-b36e-12182e3c8827
Sheet-0002406;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Egerkingen, allg.;1973;Bangerter Hermann;49c3914a-36ad-40e4-8669-105fbd815762
Sheet-0002407;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Olten, NE, Hardwald, Hasli;1966;Bangerter Hermann;ced74df5-d98d-440b-b83f-a1ed63fcf06a
Sheet-0002408;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Olten, NE, Hardwald, Hasli;1966;Bangerter Hermann;55d33f90-16b6-4730-95fc-fb559a839a41
Sheet-0002409;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Eppenberg-Wöschnau;1966;Bangerter Hermann;0893f4d8-3d33-4e6f-8ec4-21b866d207f6
Sheet-0002410;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Olten, NE, Hardwald, Hasli;1966;Bangerter Hermann;e6c9b6b7-e24c-4fd9-b095-05ecac621f32
Sheet-0002411;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Eppenberg-Wöschnau;1966;Bangerter Hermann;498e00f9-1d23-4240-8e48-8a8e816605e1
Sheet-0002412;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1966;Bangerter Hermann;f0ef6c3c-e1ac-4309-88e0-e6851b5ff4ed
Sheet-0002413;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1966;Bangerter Hermann;a2dee931-893f-4e96-98fe-6130df834999
Sheet-0002414;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Zuchwil, allg.;1967;Bangerter Hermann;3cf31e97-59f1-42a9-9de5-412654578c87
Sheet-0002415;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Kienberg, allg.;1965;Bangerter Hermann;addd2a82-20fa-4f7b-b831-67d84a5dc4f1
Sheet-0002416;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;285364c0-dc24-4377-a378-314b62026fff
Sheet-0002417;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Wangen b. Olten, allg.;1971;Bangerter Hermann;2336b47f-c47a-4f75-bc3f-e6037bade9bd
Sheet-0002418;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Wangen b. Olten, allg.;1971;Bangerter Hermann;dd2f9666-ffe0-4356-a247-e44278d317fe
Sheet-0002419;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1971;Bangerter Hermann;2abb277a-3ce3-47ce-819e-29dbd16702b6
Sheet-0002420;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1973;Bangerter Hermann;98e46619-1814-4909-98eb-6223bee570d7
Sheet-0002421;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1973;Bangerter Hermann;b6956074-6f8a-4a34-aeee-fd99e70f1fdc
Sheet-0002422;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Lüterkofen (Lüterkofen-Ichertswil), allg.;1973;Bangerter Hermann;c0b361fd-7ff8-4796-8250-1d5f458bd071
Sheet-0002423;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Lüterkofen (Lüterkofen-Ichertswil), allg.;1973;Bangerter Hermann;f32c8645-7de4-4568-80d4-e40f92de04eb
Sheet-0002424;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schönenwerd, allg.;1973;Bangerter Hermann;5fdcd0c4-c8e3-44e3-a0b6-1ac3ecfe5b69
Sheet-0002425;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Lüterkofen (Lüterkofen-Ichertswil), allg.;1973;Bangerter Hermann;3394c2ad-4d4f-468f-9acc-8671000f4084
Sheet-0002426;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Schnottwil, allg.;1973;Bangerter Hermann;660e2f9a-62fd-4a17-92de-f9c7c475dd9c
Sheet-0002427;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Lüterkofen (Lüterkofen-Ichertswil), allg.;1973;Bangerter Hermann;83f21fc0-6686-4084-8556-a83aaeb8a9c4
Sheet-0002428;Rubus;tereticaulis;P.J. Müller;Rubus tereticaulis P. J. Müll.;Rosaceae;CH;Hägendorf, allg.;1968;Bangerter Hermann;29f9c6a8-cc27-492d-95e8-748be6c010f2
Sheet-0002429;Rubus;furvus;Sudre;#NV;#NV;CH;Däniken, allg.;1967;Bangerter Hermann;667ddb6a-40b4-4fa9-84a6-3d3f15f6dfee
Sheet-0002430;Rubus;furvus;Sudre;#NV;#NV;CH;Gretzenbach, allg.;1976;Bangerter Hermann;4410ec65-b8fe-4491-9c70-0bcb1354f9d7
Sheet-0002431;Rubus;furvus;Sudre;#NV;#NV;CH;Schnottwil, allg.;1969;Bangerter Hermann;31b9f7d0-0440-4689-8cdb-ef41da4bed37
Sheet-0002432;Rubus;furvus;Sudre;#NV;#NV;;;;Bangerter Hermann;0cbff17e-2695-4650-9a62-3df1666736eb
Sheet-0002433;Rubus;furvus;Sudre;#NV;#NV;CH;Schönenwerd, allg.;1973;Bangerter Hermann;fab7f08b-d1d5-4a8d-93d0-46eef337c526
Sheet-0002434;Rubus;furvus;Sudre;#NV;#NV;CH;Schönenwerd, allg.;1971;Bangerter Hermann;7390a500-4c74-46fc-83f6-c4dd4e5e0d0e
Sheet-0002435;Rubus;menkei;Weihe & Nees;Rubus distractus Wirtg.;Rosaceae;CH;Bibern, allg.;1972;Bangerter Hermann;53313b8e-6a66-4e54-81c6-52235f2e9fe6
Sheet-0002436;Rubus;suavifolius;Gremli;#NV;#NV;CH;Mümliswil (Mümliswil-Ramiswil), allg.;1957;Bangerter Hermann;2693ed65-43b0-4a14-adec-af25128f4aa4
Sheet-0002437;Rubus;bregutiensis;A. Kerner;Rubus bregutiensis Focke;Rosaceae;CH;Erlinsbach, S, Niedererlinsbach;1969;Bangerter Hermann;3e2e92d9-41d6-4fde-997a-cf6a2ce14947
Sheet-0002438;Rubus;bregutiensis;A. Kerner;Rubus bregutiensis Focke;Rosaceae;CH;Schnottwil;1972;Bangerter Hermann;c5a3f24d-aa2e-4fe4-9c5e-00a14d36eea6
Sheet-0002439;Rubus;menkei;Weihe & Nees;;Rosaceae;CH;Mümliswil - Ramiswil;1957;Bangerter Hermann;8f5f1b5c-9563-4650-af04-c17dab26ac21
Sheet-0002440;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1976;Bangerter Hermann;b0d15d05-24c5-4e08-a90e-f2d80e509e15
Sheet-0002441;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Boningen, allg.;1975;Bangerter Hermann;3637587a-d595-4f1c-a675-693b9e8d1158
Sheet-0002442;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Boningen, allg.;1975;Bangerter Hermann;4c5507e5-1ecf-452b-a1d5-3da72123ed0c
Sheet-0002443;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1969;Bangerter Hermann;0a1519cc-6b3c-43cc-a0b0-82c0cc39cc11
Sheet-0002444;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Gunzgen, allg.;1974;Bangerter Hermann;261238c8-f02c-41f5-bf8c-a375b606b3f5
Sheet-0002445;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Gunzgen, allg.;1974;Bangerter Hermann;5d52327a-41c0-455e-838b-e47d2aed7959
Sheet-0002446;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Bibern, allg.;1974;Bangerter Hermann;a3d2a297-ad2c-402c-b247-27545eac6108
Sheet-0002447;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Messen, allg.;1974;Bangerter Hermann;1cb37b0c-e0d7-4242-8a6a-f8db05497cf4
Sheet-0002448;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schnottwil, allg.;1971;Bangerter Hermann;2decfd0c-51a9-46b2-8c7f-36554624e0a8
Sheet-0002449;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1971;Bangerter Hermann;d64a1a56-616c-43ef-be5f-cf3cb5c74aa6
Sheet-0002450;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1971;Bangerter Hermann;9730c80a-775c-43be-a91f-6b681477f5e2
Sheet-0002451;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Lüterkofen (Lüterkofen-Ichertswil), allg.;1969;Bangerter Hermann;4edecc81-81b6-4138-9c56-d4949c59b40d
Sheet-0002452;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Obererlinsbach, allg.;1964;Bangerter Hermann;f2ac4f36-8185-4599-9309-cc43491f3e63
Sheet-0002453;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schnottwil, allg.;1973;Bangerter Hermann;399417ac-26b4-4f35-a5c6-9187a33e61da
Sheet-0002454;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schnottwil, allg.;1973;Bangerter Hermann;a79e0d86-9013-4ff2-bbac-2decf740449f
Sheet-0002455;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1969;Bangerter Hermann;ae6e651a-90d1-433e-b627-c1f8d2e008ac
Sheet-0002456;Rubus;timbal-lagravei;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1974;Bangerter Hermann;d8c0115a-36c8-42da-987a-a96f887397fd
Sheet-0002457;Rubus;timbal-lagravei;P.J. Mueller;#NV;#NV;CH;Bibern, allg.;1974;Bangerter Hermann;56f472ae-7d91-4515-b490-84237c193a5d
Sheet-0002458;Rubus;timbal-lagravei;P.J. Mueller;#NV;#NV;CH;Tscheppach;1968;Bangerter Hermann;4c9cfc88-f03c-4fcf-88fb-ec8a3cfd6b4a
Sheet-0002459;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Schnottwil, allg.;1971;Bangerter Hermann;974fdda5-a917-42b9-b4f5-a52406c8f966
Sheet-0002460;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Obererlinsbach, allg.;1964;Bangerter Hermann;7ab1c121-0e1d-4215-b88b-84127af662f4
Sheet-0002461;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, Born, allg.;1971;Bangerter Hermann;df222f23-b31a-4855-8267-0f29a8d550a6
Sheet-0002462;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, Born, allg.;1971;Bangerter Hermann;b0cfcbf6-8c73-431a-b7ff-c548c719edc2
Sheet-0002463;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, allg.;1971;Bangerter Hermann;caee6af9-033e-4620-9d7f-aa78bc503506
Sheet-0002464;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, allg.;1971;Bangerter Hermann;028dabac-be88-4a2e-8045-47821569b664
Sheet-0002465;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, allg.;1963;Bangerter Hermann;0f8129d8-5f43-4516-bf9d-423a59b2a725
Sheet-0002467;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, allg.;1963;Bangerter Hermann;ec853811-e177-4e6c-9652-c6fb69cfa58e
Sheet-0002468;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, allg.;1963;Bangerter Hermann;b0bb9f74-17a3-40b5-9c53-3f8842fbff9c
Sheet-0002469;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Erlinsbach, NW, Rotholz, Barmelweid;1963;Bangerter Hermann;f2e5a029-0f17-456e-88cf-f25783a7c4cb
Sheet-0002470;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Rohr (SO), E, Rosmaregg, Balmis, Rütflue;1963;Bangerter Hermann;41bcb2c5-3d74-4679-bdc7-2a36c23d7e6e
Sheet-0002471;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Wangen b. Olten, allg.;1963;Bangerter Hermann;b4bee263-5272-4355-8068-94ffe3368da5
Sheet-0002472;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Stüsslingen, allg.;1964;Bangerter Hermann;e74546f4-13e2-4836-94f0-6fc12e442869
Sheet-0002473;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;#H;;#NV;Bangerter Hermann;a9032981-4172-4169-acba-67502342c3fa
Sheet-0002474;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Boningen, allg.;1975;Bangerter Hermann;3753efca-df8a-4804-ac06-6c57c2878c42
Sheet-0002475;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Dulliken, Engelberg, allg.;1962;Bangerter Hermann;59c67c40-aba6-4156-aea2-c237418865fd
Sheet-0002476;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;ba6d8ac0-bb7e-4f31-b868-19e54b2698cd
Sheet-0002477;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;3ec88798-d19b-4ae1-ad50-71d7348e4351
Sheet-0002478;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Hägendorf, allg.;1973;Bangerter Hermann;fc051137-bda0-407e-8b7b-7c040fa769cd
Sheet-0002479;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Rothacker;1968;Bangerter Hermann;90389dc0-c36a-40d8-b6d8-fd5c749dbe9f
Sheet-0002480;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Schnottwil, allg.;1968;Bangerter Hermann;31e32ed7-4cca-4c3c-8f47-8c3c633c2e31
Sheet-0002481;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Eppenberg-Wöschnau;1967;Bangerter Hermann;8cbadc1d-df1e-4d40-bfc5-b1eeaaadffa8
Sheet-0002482;Rubus;canescens;DC.;Rubus canescens DC.;Rosaceae;CH;Schönenwerd, allg.;1975;Bangerter Hermann;65a5b3bb-d396-4b1a-a875-1ffdda2cb8d3
Sheet-0002483;Rubus;plicatus;Weihe & Nees;#NV;#NV;CH;Rothacker;1968;Bangerter Hermann;4198bb77-90d3-48e3-be04-003690b84c90
Sheet-0002484;Rubus;macrostachys;P.J. Mueller;#NV;#NV;CH;Schönenwerd, allg.;1976;Bangerter Hermann;c152e6ba-d89f-4444-a836-289510b74eb9
Sheet-0002485;Rubus;chloocladus;W.C.R. Watson;#NV;#NV;CH;Zuchwil, Mitte, Birchi;1964;Bangerter Hermann;909296c9-6f4e-46bd-8f59-356a10ea9cb9
Sheet-0002486;Rubus;pallidus;Weihe & Nees;#NV;#NV;CH;Bibern, allg.;1972;Bangerter Hermann;a2331212-ba23-40b0-b65c-3d89da56ad2b
Sheet-0002487;Rubus;pallidus;Weihe & Nees;#NV;#NV;CH;Schönenwerd, allg.;1971;Bangerter Hermann;ba919547-4131-47d3-94ac-0cd29419a044
Sheet-0002488;Rubus;pallidus;Weihe & Nees;#NV;#NV;CH;Erlinsbach, S, Niedererlinsbach;1970;Bangerter Hermann;878a8741-9087-4475-938d-0ae6a065cfe8
Sheet-0002489;Rubus;pallidus;Weihe & Nees;#NV;#NV;CH;Stüsslingen, allg.;1964;Bangerter Hermann;35e2db00-4ad5-4a1c-89f2-b4d8038c302f
Sheet-0002490;Rubus;colemannii;Bloxen;#NV;#NV;CH;Eppenberg-Wöschnau;1976;Bangerter Hermann;7513c4ad-5588-4eb3-8567-1b225b481cc2
Sheet-0002491;Rubus;colemannii;Bloxen;#NV;#NV;CH;Schönenwerd, allg.;1976;Bangerter Hermann;7ac5f771-02c5-476e-a74b-30af785a1597
Sheet-0002492;Rubus;cordifolius;Weihe & Nees;#NV;#NV;CH;Rothacker;1967;Bangerter Hermann;63436b14-69c3-4fdc-aaec-2b1c0eb1698e
Sheet-0002493;Rubus;cordifolius;Weihe & Nees;#NV;#NV;CH;Rothacker;1967;Bangerter Hermann;d92c7947-f37e-47eb-ba3a-8ea254c48941
Sheet-0002494;Rubus;cordifolius;Weihe & Nees;#NV;#NV;CH;Schönenwerd, allg.;1969;Bangerter Hermann;e9f9f625-605d-4682-a054-2c3dd74492d9
Sheet-0002495;Rubus;apiculatus;Weihe & Nees;#NV;#NV;CH;Schnottwil, allg.;1972;Bangerter Hermann;1cb1487b-0fc9-4b24-9f63-13b2ba8d18d8
Sheet-0002496;Rubus;apiculatus;Weihe & Nees;#NV;#NV;CH;Schnottwil, allg.;1969;Bangerter Hermann;bd74a4b8-4830-4f32-9931-48bb985da955
Sheet-0002497;Rubus;apiculatus;Weihe & Nees;#NV;#NV;CH;Olten, allg.;1970;Bangerter Hermann;c1aa8cb5-f1f0-486b-9ee8-c91ddcdcaf90
Sheet-0002498;Rubus;apiculatus;Weihe & Nees;#NV;#NV;CH;Erlinsbach, S, Niedererlinsbach;1970;Bangerter Hermann;1c994dc8-b208-4271-b414-425868901a2c
Sheet-0002499;Rubus;apiculatus;Weihe & Nees;#NV;#NV;CH;Schnottwil, allg.;1969;Bangerter Hermann;a5892d3d-0ab6-4378-b13b-66579ceaf4f9
Sheet-0002500;Rubus;apiculatus;Weihe & Nees;#NV;#NV;CH;Erlinsbach, S, Niedererlinsbach;1969;Bangerter Hermann;c08b499b-f0ce-4751-a7c7-5ebfe09243e3
BERN-0065007;Pulmonaria;longifolia subsp. Delphinensis;Bolliger;Pulmonaria longifolia (Bastard) Boreau;Boraginaceae;FR;after the first big curve to Lens, on the left of the road;1978;Bolliger Markus;1d089289-4784-4598-a0a2-5df186e49fe8
Sheet-0061963;Potamogeton;polygonifolius;Pourret;Potamogeton polygonifolius Pourr.;Potamogetonaceae;CH;Agno;1950;Berger E.;c443ef20-1035-4e6c-87d3-eb748263144d
Sheet-0061931;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Bellechasse, west of the road Ins-Murten, near au Peage;1943;Berger E.;539ff0ea-942f-451a-a712-788986d74cf1
Sheet-0061935;Potamogeton;coloratus;Hornem.;Potamogeton coloratus Hornem.;Potamogetonaceae;CH;Bellechasse, west of the road Ins-Murten, near au Peage;1943;Berger E.;826243b0-196d-4aca-b3ec-c5d73906c2aa
BERN-0065030;Ribes;fragrans;Pallas;Ribes fragrans Pall.;Grossulariaceae;RU;Berghang zwischen den Fluessen Schartla und Anjutcha;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;030d30ca-976c-4cdf-a18c-17fde2b3545b
BERN-0065031;Ribes;fragrans;Pallas;Ribes fragrans Pall.;Grossulariaceae;RU;Berghang zwischen den Fluessen Schartla und Anjutcha;1984;Clerc Ph. | Ammann Klaus | Scheidegger Chr.;6545ea54-bc26-4f46-a62a-9ade03c98f5a
BERN-0065003;Pulmonaria;longifolia subsp. cevennesis;Bolliger;Pulmonaria longifolia (Bastard) Boreau;Boraginaceae;FR;Bois des Ginestoux;1978;Bolliger Markus;627ea452-05dd-46fb-91d3-fa2b548697e2
BERN-0065004;Pulmonaria;longifolia subsp. cevennesis;Bolliger;Pulmonaria longifolia (Bastard) Boreau;Boraginaceae;FR;Bois des Ginestoux;1978;Bolliger Markus;fdae7854-66d0-46d8-afaa-d32aa09b2454
